domain,domain_Age,lifeSpan,registrar_Country,host_Country,Same_Registrar_Host_Country,Privacy,TLD,cheap_TLD,domain_Has_Hyphen,domain_Has_Digits,top1m
tumblr.com,17.50136986,19,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
pbs.org,28.64931507,29,UNITED STATES,UNITED STATES,True,True,org,False,False,False,True
worldbank.org,32.33150685,39,UNITED STATES,CANADA,False,True,org,False,False,False,True
fortune.com,29.52876712,30,HONG KONG,FRANCE,False,False,com,False,False,False,True
ec.europa.eu,0.0,1,,LUXEMBOURG,False,True,europa.eu,False,False,False,True
github.io,10.74794521,12,UNITED STATES,UNITED STATES,True,True,io,False,False,False,False
businessinsider.com,25.76712329,30,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
bbc.co.uk,27.36164384,0,,CANADA,False,False,co.uk,False,False,False,True
qq.com,28.60821918,38,CHINA,CHINA,True,False,com,False,False,False,True
psychologytoday.com,25.95068493,31,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
dailymotion.com,18.73424658,20,FRANCE,FRANCE,True,False,com,False,False,False,True
pewresearch.org,20.39452055,26,UNITED STATES,UNITED STATES,True,True,org,False,False,False,True
dailymail.co.uk,27.36164384,0,,FRANCE,False,False,co.uk,False,False,False,True
nps.gov,26.19178082,26,REDACTED FOR PRIVACY,UNITED STATES,False,True,gov,False,False,False,True
spotify.com,17.63013699,24,SWEDEN,UNITED STATES,False,False,com,False,False,False,True
cisco.com,36.58630137,37,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
business.site,6.638356164,7,UNITED STATES,UNITED STATES,True,False,site,True,False,False,True
msn.com,29.08767123,29,UNITED STATES,CANADA,False,False,com,False,False,False,True
sciencemag.org,27.62191781,29,UNITED STATES,UNITED STATES,True,True,org,False,False,False,True
openai.com,16.88493151,20,FRANCE,UNITED STATES,False,True,com,False,False,False,True
prnewswire.com,28.59452055,29,UNITED STATES,CANADA,False,False,com,False,False,False,True
engadget.com,19.87671233,20,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
apache.org,28.67123288,34,UNITED STATES,UNITED STATES,True,True,org,False,False,False,True
microsoft.com,32.61643836,34,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
latimes.com,33.00273973,34,UNITED STATES,CANADA,False,False,com,False,False,False,True
fao.org,30.41369863,39,ITALY,CANADA,False,True,org,False,False,False,True
booking.com,25.65205479,26,NETHERLANDS,IRELAND,False,False,com,False,False,False,True
ieee.org,34.03287671,34,UNITED STATES,UNITED STATES,True,True,org,False,False,False,True
instagram.com,19.51506849,28,UNITED STATES,FRANCE,False,False,com,False,False,False,True
eventbrite.com,17.86849315,17,UNITED STATES,THE NETHERLANDS,False,False,com,False,False,False,True
huffpost.com,18.74794521,19,UNITED STATES,IRELAND,False,False,com,False,False,False,True
academia.edu,24.5890411,0,UNITED STATES,IRELAND,False,False,edu,False,False,False,True
pexels.com,9.564383562,10,AUSTRALIA,CANADA,False,True,com,False,False,False,True
live.com,28.95616438,28,UNITED STATES,CANADA,False,False,com,False,False,False,True
creativecommons.org,22.89863014,22,CANADA,CANADA,True,True,org,False,False,False,True
oracle.com,35.03013699,35,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
mit.edu,38.56164384,0,UNITED STATES,FRANCE,False,False,edu,False,False,False,True
youku.com,19.96712329,21,CHINA,CHINA,True,False,com,False,False,False,True
go.com,25.92054795,25,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
