age,total_life,R_Country,H_Country,Same_RH_Country,Privacy,TLD,cheap_TLD,dom_has_hyphen,dom_has_digits,top1m,has_Social,external_links,internal_links,label
10,10,11,16,0,0,1,0,0,0,1,1,5,73,1
10,10,11,1,0,0,1,0,0,0,1,1,5,73,1
9,10,1,16,0,0,1,0,0,0,1,1,5,73,1
8,9,1,16,0,0,1,0,0,0,1,0,0,23,1
17,21,8,8,1,0,1,0,0,0,1,1,4,11,1
5,6,4,3,0,0,1,0,0,0,0,0,0,0,1
4,5,4,3,0,0,1,0,0,0,0,0,0,0,1
3,5,4,3,0,0,1,0,0,0,0,0,0,0,1
2,5,4,3,0,0,1,0,0,0,0,0,0,0,1
2,4,4,3,0,0,1,0,0,0,0,0,0,0,1
2,4,4,3,0,0,1,0,0,0,0,0,0,0,1
2,3,4,3,0,0,1,0,0,0,0,0,0,0,1
11,13,15,1,0,1,1,0,0,0,1,1,23,0,1
2,4,1,1,1,0,1,0,0,0,0,1,4,4,1
2,4,1,1,1,0,1,0,0,0,0,1,4,4,1
8,9,1,1,1,1,1,0,0,0,0,0,1,118,1
7,9,1,1,1,1,1,0,0,0,0,0,1,118,1
6,8,1,1,1,1,1,0,0,0,0,0,0,117,1
7,8,1,1,1,1,1,0,0,0,0,0,1,118,1
7,8,1,1,1,1,1,0,0,0,0,0,1,118,1
7,8,1,1,1,1,1,0,0,0,0,0,1,118,1
6,7,1,1,1,0,1,0,0,0,0,0,0,117,1
6,7,1,1,1,0,1,0,0,0,0,0,1,118,1
6,7,1,1,1,0,1,0,0,0,0,0,1,118,1
5,7,1,1,1,0,1,0,0,0,0,0,0,0,1
5,6,1,1,1,0,1,0,0,0,0,0,0,0,1
5,6,1,3,0,0,1,0,0,0,0,0,0,0,1
5,6,1,1,1,0,1,0,0,0,0,0,0,0,1
5,6,999,1,0,1,1,0,0,0,0,0,0,0,1
10,11,1,1,1,0,1,0,0,0,0,1,8,71,1
9,10,1,1,1,0,1,0,0,0,0,1,8,70,1
8,9,1,1,1,0,1,0,0,0,0,1,8,70,1
8,9,1,1,1,0,1,0,0,0,0,1,8,70,1
8,9,1,3,0,0,1,0,0,0,0,1,8,70,1
7,8,1,3,0,0,1,0,0,0,0,1,9,71,1
4,6,1,1,1,0,1,0,0,0,0,1,9,1,1
6,6,1,1,1,0,1,0,0,0,0,1,7,1,1
5,6,1,3,0,0,1,0,0,0,0,1,7,1,1
21,22,1,1,1,0,1,0,0,0,1,0,17,307,1
20,21,1,1,1,0,1,0,0,0,1,0,16,232,1
19,20,1,1,1,0,1,0,0,0,1,0,26,187,1
3,4,2,1,0,0,1,0,0,0,0,0,0,0,1
2,3,2,1,0,0,1,0,0,0,0,0,0,0,1
2,3,2,1,0,0,1,0,0,0,0,0,0,0,1
1,2,2,1,0,0,1,0,0,0,0,0,0,0,1
4,6,2,1,0,0,1,0,0,0,0,0,0,0,1
4,5,2,1,0,0,1,0,0,0,0,0,0,0,1
2,3,2,1,0,0,1,0,0,0,0,0,0,0,1
3,4,8,1,0,0,1,0,0,0,0,1,4,560,1
3,5,1,16,0,1,3,0,1,0,0,0,1,0,1
10,12,1,1,1,1,9,0,0,0,0,1,6,74,1
10,12,1,11,0,1,9,0,0,0,0,1,6,74,1
4,9,1,1,1,0,1,0,0,0,0,1,2,0,1
4,9,1,1,1,0,1,0,0,0,0,0,1,0,1
1,3,999,1,0,1,44,0,0,0,0,0,0,50,1
1,2,999,1,0,1,44,0,0,0,0,0,0,50,1
1,2,999,1,0,1,44,0,0,0,0,0,0,50,1
0,1,999,1,0,1,44,0,0,0,0,0,0,50,1
0,1,999,1,0,1,44,0,0,0,0,0,0,50,1
8,8,999,11,0,1,44,0,0,0,0,0,2,49,1
5,6,2,1,0,0,1,0,0,0,0,1,14,209,1
4,5,2,1,0,0,1,0,0,0,0,1,14,198,1
3,4,2,1,0,0,1,0,0,0,0,1,13,217,1
3,4,2,1,0,0,1,0,0,0,0,1,13,217,1
4,5,1,11,0,0,1,0,0,0,0,1,2,34,1
3,4,1,11,0,0,1,0,0,0,0,1,2,34,1
2,3,1,11,0,0,1,0,0,0,0,1,2,34,1
1,2,1,11,0,0,1,0,0,0,0,1,1,38,1
4,5,1,3,0,0,1,0,0,0,0,0,0,0,1
4,5,1,3,0,0,1,0,0,0,0,0,0,0,1
4,5,1,3,0,0,1,0,0,0,0,0,0,0,1
4,4,1,3,0,0,1,0,0,0,0,0,0,0,1
3,4,1,3,0,0,1,0,0,0,0,0,0,0,1
3,4,1,15,0,0,1,0,0,0,0,0,0,0,1
3,3,1,15,0,0,1,0,0,0,0,0,0,0,1
3,3,1,3,0,0,1,0,0,0,0,0,0,0,1
3,3,1,3,0,0,1,0,0,0,0,0,0,0,1
2,3,1,15,0,0,1,0,0,0,0,0,0,0,1
5.5041,6,999,3,0,1,1,0,0,0,0,1,6,0,1
9.0384,10,1,3,0,0,1,0,1,0,0,1,7,7,1
3.6164,4,2,1,0,0,1,0,0,0,0,0,0,0,1
4.3397,5,1,1,1,0,1,0,0,0,0,0,0,0,1
4.1151,5,1,3,0,0,1,0,0,0,0,0,0,29,1
0.3699,1,999,3,0,1,2,0,0,0,0,0,0,0,1
0.8548,1,1,1,1,1,3,0,0,0,0,1,5,8,1
0.6904,1,4,5,0,0,1,0,0,0,0,0,0,0,1
3.8082,5,1,3,0,0,1,0,0,0,0,0,1,21,1
1.0575,1,6,6,1,0,4,0,0,0,0,0,0,1,1
3.6219,4,3,3,1,0,1,0,0,0,0,1,5,2,1
5.8055,6,8,1,0,0,1,0,0,0,0,1,4,560,1
3.9014,4,1,3,0,0,1,0,0,1,0,0,2,0,1
0.3425,1,1,1,1,1,1,0,0,0,0,0,1,0,1
4.7288,7,2,3,0,0,1,0,0,0,0,1,3,11,1
4.0849,5,1,7,0,1,3,0,1,0,0,0,1,0,1
1.011,2,9,3,0,1,3,0,0,0,0,0,2,43,1
0.4685,1,4,1,0,0,1,0,1,0,0,0,0,0,1
4.2712,5,1,1,1,0,1,0,0,0,0,1,6,24,1
4.1452,6,1,1,1,1,1,0,0,0,0,0,0,0,1
5.6301,6,1,3,0,0,1,0,0,0,0,1,6,0,1
0.3808,1,2,9,0,0,1,0,0,0,0,0,2,16,1
4,4,1,1,1,0,1,0,0,0,0,0,1,18,1
3.5233,4,1,3,0,0,1,0,0,0,0,1,4,10,1
8.3699,9,3,3,1,0,1,0,0,0,0,1,6,0,1
5.8356,6,1,1,1,1,5,0,0,0,0,0,0,0,1
4.5644,5,999,10,0,1,6,0,0,0,0,0,0,15,1
5.8027,6,11,3,0,1,1,0,0,0,0,1,3,1,1
5,6,11,11,0,0,6,0,0,1,0,0,0,67,1
4.4959,5,1,3,0,0,1,0,0,0,0,1,3,0,1
8.4603,9,2,10,0,0,1,0,0,0,0,0,0,0,1
4.1534,6,2,1,0,0,1,0,0,0,0,1,11,49,1
0.8685,1,2,1,0,0,7,1,0,0,0,0,0,68,1
4.2904,5,13,1,0,1,1,0,0,0,0,1,2,0,1
1,1,1,1,1,1,43,0,1,0,0,1,3,2,1
6.3589,8,11,3,0,1,1,0,0,0,0,0,1,0,1
3.7836,4,2,1,0,0,1,0,0,0,0,0,1,32,1
7.2795,8,1,9,0,1,8,0,0,0,0,0,1,0,1
0.9562,1,2,1,0,0,1,0,0,0,0,1,5,0,1
5.1068,6,3,12,0,0,1,0,0,0,0,0,0,0,1
